,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,missing,missing_pct
latitude,14953,5.904614550349508,32.20574877826356,-73.2204,-60.229504,-55.236560000000004,-17.7621,3.6958,34.6248,52.53594,60.10196799999993,87.0815,0,0.0
longitude,14953,52.51728041648343,118.85377221556021,-179.9944,-179.266092,-177.22682,-62.351,121.5453,147.4676,167.14988,178.21135599999997,179.9984,0,0.0
depth,14953,59.255409542896984,106.81588242637757,1.181,7.99664,10.0,10.0,10.802,59.0,228.63819999999978,575.8724,669.556,0,0.0
mag,14953,4.802745946377783,0.36363861649466045,4.5,4.5,4.5,4.5,4.7,4.9,5.5,6.2,8.8,0,0.0
horizontalError,14897,8.73927598455114,2.897792517984607,0.0,2.5792,4.17,6.78,8.62,10.57,13.75,15.7,26.16,56,0.37
depthError,14953,3.7663916836517393,2.5851159994422597,0.1,1.226,1.739,1.869,1.932,5.738,8.138,10.379919999999998,32.57,0,0.0
magError,14876,0.08660988189449151,0.03808269946588436,0.0,0.026,0.036,0.059,0.08,0.108,0.157,0.204,0.389,77,0.51
nst,14900,69.94557046979865,50.17689685932666,0.0,13.0,19.0,35.0,57.0,90.0,168.0,253.01000000000022,619.0,53,0.35
gap,14898,96.64466719567079,42.673612690395615,9.0,20.0,33.0,64.0,95.0,126.0,169.0,212.0,277.0,55,0.37
dmin,14898,4.087661192163667,5.476003611847542,0.0,0.20897,0.4999894678592675,1.354,2.3,4.395,15.379299999999992,30.401990000000023,62.558,55,0.37
rms,14953,0.7425452322964926,0.21075301314001557,0.0,0.33,0.44,0.59,0.72,0.87,1.13,1.3,1.74,0,0.0
magNst,14896,64.4187701396348,86.66868760207417,0.0,7.0,10.0,20.0,35.0,73.0,216.0,464.0,1027.0,57,0.38
