lat_min,lat_max,lon_min,lon_max,count,mean_mag,max_mag,mean_depth
-90,-80,-180,-170,0,,,
-90,-80,-170,-160,0,,,
-90,-80,-160,-150,0,,,
-90,-80,-150,-140,0,,,
-90,-80,-140,-130,0,,,
-90,-80,-130,-120,0,,,
-90,-80,-120,-110,0,,,
-90,-80,-110,-100,0,,,
-90,-80,-100,-90,0,,,
-90,-80,-90,-80,0,,,
-90,-80,-80,-70,0,,,
-90,-80,-70,-60,0,,,
-90,-80,-60,-50,0,,,
-90,-80,-50,-40,0,,,
-90,-80,-40,-30,0,,,
-90,-80,-30,-20,0,,,
-90,-80,-20,-10,0,,,
-90,-80,-10,0,0,,,
-90,-80,0,10,0,,,
-90,-80,10,20,0,,,
-90,-80,20,30,0,,,
-90,-80,30,40,0,,,
-90,-80,40,50,0,,,
-90,-80,50,60,0,,,
-90,-80,60,70,0,,,
-90,-80,70,80,0,,,
-90,-80,80,90,0,,,
-90,-80,90,100,0,,,
-90,-80,100,110,0,,,
-90,-80,110,120,0,,,
-90,-80,120,130,0,,,
-90,-80,130,140,0,,,
-90,-80,140,150,0,,,
-90,-80,150,160,0,,,
-90,-80,160,170,0,,,
-90,-80,170,180,0,,,
-80,-70,-180,-170,0,,,
-80,-70,-170,-160,0,,,
-80,-70,-160,-150,0,,,
-80,-70,-150,-140,0,,,
-80,-70,-140,-130,1,4.6,4.6,10.0
-80,-70,-130,-120,0,,,
-80,-70,-120,-110,0,,,
-80,-70,-110,-100,0,,,
-80,-70,-100,-90,0,,,
-80,-70,-90,-80,0,,,
-80,-70,-80,-70,0,,,
-80,-70,-70,-60,0,,,
-80,-70,-60,-50,0,,,
-80,-70,-50,-40,0,,,
-80,-70,-40,-30,0,,,
-80,-70,-30,-20,0,,,
-80,-70,-20,-10,0,,,
-80,-70,-10,0,0,,,
-80,-70,0,10,0,,,
-80,-70,10,20,0,,,
-80,-70,20,30,0,,,
-80,-70,30,40,0,,,
-80,-70,40,50,0,,,
-80,-70,50,60,0,,,
-80,-70,60,70,0,,,
-80,-70,70,80,0,,,
-80,-70,80,90,0,,,
-80,-70,90,100,0,,,
-80,-70,100,110,0,,,
-80,-70,110,120,0,,,
-80,-70,120,130,0,,,
-80,-70,130,140,0,,,
-80,-70,140,150,0,,,
-80,-70,150,160,0,,,
-80,-70,160,170,0,,,
-80,-70,170,180,0,,,
-70,-60,-180,-170,4,4.575,4.6,10.0
-70,-60,-170,-160,11,4.945,5.7,10.0
-70,-60,-160,-150,12,4.733,5.4,10.0
-70,-60,-150,-140,0,,,
-70,-60,-140,-130,0,,,
-70,-60,-130,-120,0,,,
-70,-60,-120,-110,0,,,
-70,-60,-110,-100,0,,,
-70,-60,-100,-90,0,,,
-70,-60,-90,-80,0,,,
-70,-60,-80,-70,0,,,
-70,-60,-70,-60,43,4.951,7.6,9.9
-70,-60,-60,-50,8,4.725,5.0,10.0
-70,-60,-50,-40,5,4.62,4.9,10.0
-70,-60,-40,-30,15,4.913,6.6,10.0
-70,-60,-30,-20,39,4.754,5.7,15.6
-70,-60,-20,-10,4,5.125,5.6,10.0
-70,-60,-10,0,0,,,
-70,-60,0,10,0,,,
-70,-60,10,20,0,,,
-70,-60,20,30,0,,,
-70,-60,30,40,0,,,
-70,-60,40,50,0,,,
-70,-60,50,60,0,,,
-70,-60,60,70,0,,,
-70,-60,70,80,0,,,
-70,-60,80,90,0,,,
-70,-60,90,100,0,,,
-70,-60,100,110,0,,,
-70,-60,110,120,0,,,
-70,-60,120,130,0,,,
-70,-60,130,140,0,,,
-70,-60,140,150,2,4.85,5.0,10.0
-70,-60,150,160,14,5.071,6.0,9.8
-70,-60,160,170,14,5.057,5.7,10.0
-70,-60,170,180,16,4.806,5.6,10.0
-60,-50,-180,-170,0,,,
-60,-50,-170,-160,0,,,
-60,-50,-160,-150,5,4.7,5.1,10.0
-60,-50,-150,-140,20,4.995,6.3,10.0
-60,-50,-140,-130,24,4.9,6.2,10.0
-60,-50,-130,-120,28,5.096,6.3,10.0
-60,-50,-120,-110,2,4.65,4.7,10.0
-60,-50,-110,-100,0,,,
-60,-50,-100,-90,0,,,
-60,-50,-90,-80,0,,,
-60,-50,-80,-70,2,4.85,5.2,12.0
-60,-50,-70,-60,101,4.864,7.4,10.0
-60,-50,-60,-50,6,4.8,5.1,10.0
-60,-50,-50,-40,4,4.95,5.2,10.0
-60,-50,-40,-30,12,4.7,5.2,10.0
-60,-50,-30,-20,346,4.834,6.1,45.7
-60,-50,-20,-10,9,5.011,5.6,10.0
-60,-50,-10,0,14,4.886,5.6,10.0
-60,-50,0,10,10,4.98,6.2,10.0
-60,-50,10,20,17,4.706,5.4,10.0
-60,-50,20,30,27,4.8,6.6,9.8
-60,-50,30,40,0,,,
-60,-50,40,50,0,,,
-60,-50,50,60,0,,,
-60,-50,60,70,1,5.2,5.2,10.0
-60,-50,70,80,0,,,
-60,-50,80,90,0,,,
-60,-50,90,100,1,4.8,4.8,10.0
-60,-50,100,110,0,,,
-60,-50,110,120,10,4.59,4.9,10.0
-60,-50,120,130,1,4.6,4.6,10.0
-60,-50,130,140,11,4.736,5.2,10.0
-60,-50,140,150,29,4.948,6.2,10.0
-60,-50,150,160,50,5.064,7.0,14.9
-60,-50,160,170,3,4.867,5.2,10.0
-60,-50,170,180,0,,,
-50,-40,-180,-170,0,,,
-50,-40,-170,-160,0,,,
-50,-40,-160,-150,0,,,
-50,-40,-150,-140,0,,,
-50,-40,-140,-130,0,,,
-50,-40,-130,-120,0,,,
-50,-40,-120,-110,3,4.833,4.9,10.0
-50,-40,-110,-100,0,,,
-50,-40,-100,-90,14,4.871,5.6,10.0
-50,-40,-90,-80,38,4.858,5.4,10.0
-50,-40,-80,-70,21,4.929,6.3,15.9
-50,-40,-70,-60,0,,,
-50,-40,-60,-50,0,,,
-50,-40,-50,-40,0,,,
-50,-40,-40,-30,0,,,
-50,-40,-30,-20,0,,,
-50,-40,-20,-10,33,4.915,5.9,10.0
-50,-40,-10,0,5,4.66,5.0,10.0
-50,-40,0,10,0,,,
-50,-40,10,20,0,,,
-50,-40,20,30,0,,,
-50,-40,30,40,11,4.691,5.1,10.0
-50,-40,40,50,6,4.933,6.2,10.0
-50,-40,50,60,0,,,
-50,-40,60,70,0,,,
-50,-40,70,80,7,4.957,5.5,10.0
-50,-40,80,90,21,4.843,5.6,10.0
-50,-40,90,100,16,5.031,6.6,9.9
-50,-40,100,110,14,4.836,5.4,10.0
-50,-40,110,120,28,4.821,6.2,10.0
-50,-40,120,130,29,4.707,5.5,10.0
-50,-40,130,140,0,,,
-50,-40,140,150,0,,,
-50,-40,150,160,0,,,
-50,-40,160,170,16,5.081,6.7,18.1
-50,-40,170,180,14,4.671,5.2,36.8
-40,-30,-180,-170,309,4.76,5.9,33.9
-40,-30,-170,-160,0,,,
-40,-30,-160,-150,0,,,
-40,-30,-150,-140,0,,,
-40,-30,-140,-130,0,,,
-40,-30,-130,-120,0,,,
-40,-30,-120,-110,13,5.015,6.3,10.0
-40,-30,-110,-100,35,5.009,6.0,10.0
-40,-30,-100,-90,30,4.837,5.7,10.0
-40,-30,-90,-80,0,,,
-40,-30,-80,-70,70,4.767,6.4,46.8
-40,-30,-70,-60,38,4.729,6.0,118.5
-40,-30,-60,-50,0,,,
-40,-30,-50,-40,0,,,
-40,-30,-40,-30,1,4.8,4.8,10.0
-40,-30,-30,-20,0,,,
-40,-30,-20,-10,21,5.114,6.2,10.0
-40,-30,-10,0,0,,,
-40,-30,0,10,0,,,
-40,-30,10,20,1,5.2,5.2,10.0
-40,-30,20,30,0,,,
-40,-30,30,40,0,,,
-40,-30,40,50,10,4.99,6.2,10.0
-40,-30,50,60,30,4.753,5.7,10.0
-40,-30,60,70,1,4.5,4.5,10.0
-40,-30,70,80,71,4.769,5.8,10.2
-40,-30,80,90,0,,,
-40,-30,90,100,0,,,
-40,-30,100,110,1,4.7,4.7,10.0
-40,-30,110,120,1,4.6,4.6,8.0
-40,-30,120,130,1,5.1,5.1,10.0
-40,-30,130,140,1,4.9,4.9,10.0
-40,-30,140,150,1,4.8,4.8,3.0
-40,-30,150,160,3,4.8,5.1,10.3
-40,-30,160,170,1,4.9,4.9,10.0
-40,-30,170,180,55,4.722,5.8,115.5
-30,-20,-180,-170,663,4.801,7.0,203.2
