,PC1,PC2,PC3
depth,0.09505849126011152,0.6280819522425942,0.15128505974622292
mag,0.39054310759530897,-0.23419726313326872,0.2333797524271487
horizontalError,-0.28727808207895467,0.20688068607901383,0.5545618847912452
depthError,-0.01635306560093308,0.6512236887385204,-0.10430356018500318
magError,-0.480056054406858,-0.10395869497137539,-0.09031264167060687
rms,0.011193765600731697,0.0007936915707554958,-0.32937902995250756
gap,-0.3760759566475084,0.05615065604903777,-0.11253442435472026
dmin,-0.19618049900986548,-0.1582054104826603,0.6671610249053694
nst,0.4944263236269001,-0.04740195979527026,0.1357430063541772
magNst,0.3173128212589674,0.2062424740000783,0.10671313374866093
