eps_km,min_samples,n_clusters,n_noise,noise_pct,silhouette_score,max_cluster_pct
100,5,237,1168,7.8,0.024,20.7
100,10,117,2512,16.8,0.4375,17.1
100,20,63,4388,29.3,0.5593,12.5
200,5,102,425,2.8,0.1337,42.1
200,10,83,885,5.9,0.2546,30.6
200,20,43,2184,14.6,0.4039,27.2
300,5,45,224,1.5,-0.1631,67.3
300,10,47,413,2.8,0.0669,67.2
300,20,44,1119,7.5,0.1702,52.5
400,5,19,140,0.9,-0.298,74.2
400,10,26,233,1.6,-0.0119,69.7
400,20,31,591,4.0,0.1112,66.8
500,5,12,105,0.7,-0.2497,74.9
500,10,12,173,1.2,0.0738,74.7
500,20,24,364,2.4,0.1469,69.7
